person_id,name,role,avatar_url
sergio-valverde,Sergio Valverde,"Platform Engineer · GitHub Star",https://avatars.githubusercontent.com/svg153
luis-fraile,Luis Fraile,"CTO · DevOps and ALM Consultant",
alberto-diaz-martin,Alberto Diaz Martin,"CTIO · Microsoft Regional Director",
rodrigo-liberoff,Rodrigo Liberoff,"Cloud and Software Senior Architect",
jorge-fernandez-sanchez,Jorge Fernández Sánchez,"Technical Lead · AI and context engineering",
borja-piris-de-castro,Borja Piris de Castro,"Head of AI Platform Engineering",
ramon-palomares,Ramon Palomares,,
erika-cepeda,Érika Cepeda,"Copilot Sales Specialist · Microsoft MVP",https://avatars.githubusercontent.com/ErikaCepedaSanabria
alba-catoira,Alba Catoira,,
unai-zorrilla,Unai Zorrilla,,
diego-loira,Diego Loira,,
diego-varela,Diego Varela,,
bruno-capuano,Bruno Capuano,,
roberto-arocha,Roberto Arocha,,https://avatars.githubusercontent.com/rarocha
roberto-navarro-matesanz,Roberto Navarro Matesanz,,
diego-zapico,Diego Zapico,,
