speaker_id,person_id,name,role,avatar_url,event_id,event_date,session_title,session_time
2026-04-17-sergio-valverde,sergio-valverde,Sergio Valverde,Platform Engineer · GitHub Star,https://avatars.githubusercontent.com/svg153,2026-04-17-copilot-dev-days-madrid,2026-04-17,Afilando el hacha: tunea GitHub Copilot,
2026-04-17-luis-fraile,luis-fraile,Luis Fraile,CTO · DevOps and ALM Consultant,,2026-04-17-copilot-dev-days-madrid,2026-04-17,Afilando el hacha: tunea GitHub Copilot,
2026-04-17-alberto-diaz,alberto-diaz-martin,Alberto Diaz Martin,CTIO · Microsoft Regional Director,,2026-04-17-copilot-dev-days-madrid,2026-04-17,El desarrollador del futuro hoy,
2026-04-17-rodrigo-liberoff,rodrigo-liberoff,Rodrigo Liberoff,Cloud and Software Senior Architect,,2026-04-17-copilot-dev-days-madrid,2026-04-17,SDD: GitHub Spec Kit para construir proyectos con IA,
2026-04-17-borja-piris,borja-piris-de-castro,Borja Piris de Castro,AI Platform Engineering,,2026-04-17-copilot-dev-days-madrid,2026-04-17,SDD: GitHub Spec Kit para construir proyectos con IA,
2026-04-17-jorge-fernandez,jorge-fernandez-sanchez,Jorge Fernández Sánchez,Technical Lead · AI and context engineering,,2026-04-17-copilot-dev-days-madrid,2026-04-17,Get Shit Done con IA: menos prompts más commits,
2026-04-17-ramon-palomares,ramon-palomares,Ramon Palomares,,,2026-04-17-copilot-dev-days-madrid,2026-04-17,Get Shit Done con IA: menos prompts más commits,
2026-04-17-erika-cepeda,erika-cepeda,Érika Cepeda,Copilot Sales Specialist · Microsoft MVP,https://avatars.githubusercontent.com/ErikaCepedaSanabria,2026-04-17-copilot-dev-days-madrid,2026-04-17,Entrenando con Bulma: mejora tus agentes,
2026-05-23-alba-catoira,alba-catoira,Alba Catoira,,,2026-05-23-coruna,2026-05-23,Azure DevOps + GitHub Actions,
2026-05-23-unai-zorrilla,unai-zorrilla,Unai Zorrilla,,,2026-05-23-coruna,2026-05-23,Automatizando flujos con GitHub Copilot SDK,
2026-05-23-diego-loira,diego-loira,Diego Loira,,,2026-05-23-coruna,2026-05-23,Automatizando flujos con GitHub Copilot SDK,
2026-05-23-diego-varela,diego-varela,Diego Varela,,,2026-05-23-coruna,2026-05-23,Sube de nivel con GitHub Copilot,
2026-05-23-luis-fraile,luis-fraile,Luis Fraile,CTO · DevOps and ALM Consultant,,2026-05-23-coruna,2026-05-23,Sube de nivel con GitHub Copilot,
2026-06-20-bruno-capuano,bruno-capuano,Bruno Capuano,,,2026-06-20-agentsday,2026-06-20,AgentsDay,
2026-06-20-roberto-arocha,roberto-arocha,Roberto Arocha,,,2026-06-20-agentsday,2026-06-20,AgentsDay,
2026-06-20-roberto-navarro,roberto-navarro-matesanz,Roberto Navarro Matesanz,,,2026-06-20-agentsday,2026-06-20,AgentsDay,
2026-06-20-diego-zapico,diego-zapico,Diego Zapico,,,2026-06-20-agentsday,2026-06-20,AgentsDay,
